TimeDelta,Length,Port,Protocol,Length,Info
0.000146,103,40178,TCP,103,"80  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000144,103,40178,TCP,103,"8888  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.00032,103,40178,TCP,103,"113  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000233,109,443,TCP,109,40178  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,109,135,TCP,109,40178  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000079,109,135,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000082,109,135,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,443,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,135,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000223,103,40178,TCP,103,"1025  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000226,103,40178,TCP,103,"199  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.00042,103,40178,TCP,103,"25  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000173,103,40178,TCP,103,"1025  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000154,103,40178,TCP,103,"199  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000161,103,40178,TCP,103,"25  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000236,109,21,TCP,109,40178  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000238,109,110,TCP,109,40178  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.0002,109,3306,TCP,109,40178  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,103,40178,TCP,103,"443  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000224,103,40178,TCP,103,"135  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000156,109,21,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000156,109,110,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000349,103,40178,TCP,103,"443  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000152,103,40178,TCP,103,"135  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000226,109,111,TCP,109,40178  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000146,109,993,TCP,109,40178  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000147,103,40178,TCP,103,"21  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000294,103,40178,TCP,103,"110  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000233,103,40178,TCP,103,"3306  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000161,109,111,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,993,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000151,103,40178,TCP,103,"21  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,103,40178,TCP,103,"110  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000152,103,40178,TCP,103,"3306  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000375,103,40178,TCP,103,"111  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000246,103,40178,TCP,103,"993  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000154,103,40178,TCP,103,"111  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000152,103,40178,TCP,103,"993  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000233,109,8080,TCP,109,40178  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000147,109,256,TCP,109,40178  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000159,109,8080,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000153,109,256,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000231,109,53,TCP,109,40178  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,139,TCP,109,40178  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,109,1720,TCP,109,40178  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000153,109,53,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000287,109,139,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000161,109,1720,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000459,103,40178,TCP,103,"256  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000229,103,40178,TCP,103,"53  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.00023,103,40178,TCP,103,"139  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000234,103,40178,TCP,103,"1720  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,103,40178,TCP,103,"8080  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.00015,103,40178,TCP,103,"256  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000159,103,40178,TCP,103,"53  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,103,40178,TCP,103,"139  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000151,103,40178,TCP,103,"1720  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000327,109,143,TCP,109,40178  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000075,109,143,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000075,109,143,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
