TimeDelta,Length,Port,Attack
0.000195000,109,8009,1
0.000218000,109,49156,1
0.000281000,103,40178,1
0.000167000,103,40178,1
0.000162000,103,40178,1
0.000159000,103,40178,1
0.000340000,103,40178,1
0.000158000,103,40178,1
0.000157000,109,1301,1
0.000156000,109,9917,1
0.000155000,109,9415,1
0.000158000,109,1031,1
0.000151000,109,9535,1
0.000146000,109,1148,1
0.000274000,109,3517,1
0.000146000,109,8009,1
0.000146000,109,49156,1
0.000219000,109,1322,1
0.000146000,109,17988,1
0.000145000,109,389,1
0.000147000,109,17988,1
0.000145000,109,389,1
0.000390000,109,8000,1
0.000156000,109,50500,1
0.000175000,109,32,1
0.000155000,109,8000,1
0.000159000,109,50500,1
0.000160000,109,32,1
0.000390000,103,40178,1
0.000233000,103,40178,1
0.000238000,103,40178,1
0.000230000,103,40178,1
0.000439000,103,40178,1
0.000233000,103,40178,1
0.000232000,107,40178,1
0.000232000,103,40178,1
0.000232000,103,40178,1
0.000228000,103,40178,1
0.000225000,103,40178,1
0.000225000,103,40178,1
0.000233000,103,40178,1
0.000235000,103,40178,1
0.000155000,103,40178,1
0.000091000,103,40178,1
0.000155000,103,40178,1
0.000198000,103,40178,1
0.000154000,103,40178,1
0.000154000,103,40178,1
0.000155000,103,40178,1
0.000304000,103,40178,1
0.000153000,107,40178,1
0.000155000,103,40178,1
0.000155000,103,40178,1
0.000155000,103,40178,1
0.000155000,103,40178,1
0.000155000,103,40178,1
0.000157000,103,40178,1
0.000156000,103,40178,1
0.001268000,109,1104,1
0.000369000,109,1050,1
0.000532000,109,901,1
0.000341000,109,1104,1
0.000302000,109,1050,1
0.000248000,109,901,1
0.000523000,109,843,1
0.000633000,109,4321,1
0.000310000,109,49163,1
0.000213000,109,1000,1
0.000654000,109,4321,1
0.000174000,109,49163,1
0.000318000,109,1000,1
0.000318000,109,8194,1
0.000262000,103,40178,1
0.000237000,103,40178,1
0.000239000,103,40178,1
0.000160000,109,8194,1
0.000466000,103,40178,1
0.000153000,103,40178,1
0.000153000,103,40178,1
0.000242000,109,9968,1
0.000166000,109,668,1
0.000164000,109,9968,1
0.000174000,109,668,1
0.000248000,109,2190,1
0.000151000,109,3323,1
0.000153000,109,3351,1
0.000150000,109,2190,1
0.000150000,109,3323,1
0.000154000,109,3351,1
0.000239000,109,15004,1
0.000156000,103,40178,1
0.000229000,103,40178,1
0.000231000,103,40178,1
0.000227000,103,40178,1
0.000227000,103,40178,1
0.000296000,103,40178,1
0.000225000,103,40178,1
0.000540000,103,40178,1
0.000228000,103,40178,1
0.000224000,103,40178,1
0.000146000,109,15004,1
0.000144000,103,40178,1
0.000146000,103,40178,1
0.000144000,103,40178,1
0.000146000,103,40178,1
0.000144000,103,40178,1
0.000145000,103,40178,1
0.000145000,103,40178,1
0.000143000,103,40178,1
0.000145000,103,40178,1
0.000146000,103,40178,1
0.000220000,103,40178,1
0.000211000,109,8652,1
0.000145000,103,40178,1
0.000216000,109,416,1
0.000147000,109,27352,1
0.000144000,109,8652,1
0.000144000,109,416,1
0.000146000,109,27352,1
0.000219000,109,555,1
0.000073000,109,555,1
0.000146000,109,6779,1
0.000144000,109,2383,1
0.000145000,109,555,1
0.000154000,109,6779,1
0.000151000,109,2383,1
0.000229000,109,32782,1
0.000404000,109,50003,1
0.000154000,109,1007,1
0.000150000,109,32782,1
0.000153000,103,40178,1
0.000226000,103,40178,1
0.000228000,103,40178,1
0.000230000,103,40178,1
0.000303000,109,50003,1
0.000145000,103,40178,1
0.000075000,109,1105,1
0.000071000,103,40178,1
0.000146000,103,40178,1
0.000073000,109,1105,1
0.000147000,103,40178,1
0.000080000,109,1105,1
0.000078000,103,40178,1
0.000076000,103,40178,1
0.000077000,103,40178,1
0.000077000,103,40178,1
0.000153000,103,40178,1
0.000077000,103,40178,1
0.000077000,103,40178,1
0.000151000,103,40178,1
0.000146000,103,40178,1
0.000147000,103,40178,1
0.000236000,103,40178,1
0.000244000,103,40178,1
0.000230000,103,40178,1
0.000218000,103,40178,1
0.000073000,103,40178,1
0.000146000,103,40178,1
0.000146000,103,40178,1
0.000198000,103,40178,1
0.000292000,103,40178,1
0.000158000,103,40178,1
0.000150000,103,40178,1
0.000154000,103,40178,1
0.000152000,103,40178,1
0.000373000,109,1105,1
0.000146000,109,20828,1
0.000074000,109,20828,1
0.000073000,109,20828,1
0.000073000,109,20828,1
0.000145000,109,25735,1
0.000146000,109,1097,1
0.000293000,109,20828,1
0.000146000,109,20828,1
0.000146000,109,25735,1
0.000155000,109,1097,1
0.000228000,103,40178,1
0.000077000,103,40178,1
0.000077000,103,40178,1
0.000076000,103,40178,1
0.000154000,103,40178,1
0.000228000,103,40178,1
0.000073000,103,40178,1
0.000075000,109,3071,1
0.000150000,103,40178,1
0.000153000,109,3801,1
0.000154000,103,40178,1
0.000152000,109,3071,1
0.000151000,103,40178,1
0.000149000,103,40178,1
0.000151000,109,3801,1
0.000226000,103,40178,1
0.000157000,103,40178,1
0.000150000,103,40178,1
0.000212000,103,40178,1
0.000076000,103,40178,1
0.000077000,103,40178,1
0.000077000,109,5087,1
0.000153000,109,8994,1
0.000152000,103,40178,1
0.000159000,103,40178,1
0.000160000,109,5087,1
0.000155000,109,8994,1
0.000217000,109,2191,1
0.000149000,109,5633,1
0.000146000,103,40178,1
0.000223000,103,40178,1
0.000145000,109,2191,1
0.000150000,109,5633,1
0.000144000,103,40178,1
0.000148000,103,40178,1
0.000221000,109,5510,1
0.000189000,109,5510,1
0.000074000,109,5510,1
0.000072000,103,40178,1
0.000220000,103,40178,1
0.000144000,103,40178,1
0.000158000,103,40178,1
0.000234000,109,5510,1
0.000146000,109,1417,1
0.000146000,109,749,1
0.000147000,109,5510,1
0.000153000,109,1417,1
0.000157000,109,749,1
0.000627000,109,1658,1
0.000198000,109,2811,1
0.000241000,109,2800,1
0.000165000,109,1658,1
0.000168000,109,2811,1
0.000193000,109,2800,1
0.000296000,109,38292,1
0.000179000,109,32778,1
0.000260000,109,38292,1
0.000467000,109,32778,1
0.000319000,109,5102,1
0.000203000,109,70,1
0.000160000,109,5102,1
0.000282000,109,70,1
0.000241000,103,40178,1
0.000149000,103,40178,1
0.000227000,103,40178,1
0.000222000,103,40178,1
0.000222000,103,40178,1
0.000281000,103,40178,1
0.000226000,103,40178,1
0.000215000,103,40178,1
0.000217000,103,40178,1
0.000219000,103,40178,1
0.000154000,109,1721,1
0.000306000,103,40178,1
0.000150000,103,40178,1
0.000148000,103,40178,1
0.000146000,103,40178,1
0.000208000,103,40178,1
0.000158000,103,40178,1
0.000150000,103,40178,1
0.000155000,103,40178,1
0.000151000,103,40178,1
0.000154000,103,40178,1
0.000143000,109,1721,1
0.000216000,109,3995,1
0.000147000,109,9618,1
0.000225000,103,40178,1
0.000151000,109,1075,1
0.000366000,109,9618,1
0.000153000,109,1075,1
0.000158000,103,40178,1
0.000075000,109,2045,1
0.000237000,109,2045,1
0.000311000,103,40178,1
0.000158000,109,2045,1
0.000148000,103,40178,1
0.000158000,103,40178,1
0.000150000,109,563,1
0.000155000,109,8009,1
0.000226000,109,50001,1
0.000155000,109,2126,1
0.000152000,109,50001,1
0.000156000,109,2126,1
0.000230000,109,1218,1
0.000180000,109,1218,1
0.000073000,103,40178,1
0.000076000,109,1218,1
0.000074000,103,40178,1
0.000145000,103,40178,1
0.000150000,103,40178,1
0.000146000,103,40178,1
0.000223000,109,1218,1
0.000073000,109,1218,1
0.000073000,103,40178,1
0.000223000,103,40178,1
0.000195000,103,40178,1
0.000150000,103,40178,1
0.000196000,109,714,1
0.000155000,109,85,1
0.000199000,109,58465,1
0.002199000,103,40178,1
0.000472000,103,40178,1
0.000323000,103,40178,1
0.002802000,109,7004,1
0.000162000,109,41511,1
0.000200000,109,5414,1
0.000153000,109,16001,1
0.000281000,109,631,1
0.000154000,109,6789,1
0.004990000,103,40178,1
0.000212000,103,40178,1
0.004108000,103,40178,1
0.000077000,103,40178,1
0.000275000,103,42226,1
0.000276000,103,40178,1
0.000363000,103,40178,1
0.000215000,103,40178,1
0.000337000,103,40178,1
0.000218000,103,40178,1
0.000224000,103,40178,1
0.000223000,103,40178,1
0.000218000,103,40178,1
0.000226000,103,40178,1
0.000414000,103,40178,1
0.000230000,103,40178,1
0.000225000,103,40178,1
0.000229000,103,40178,1
0.000152000,103,40178,1
0.000154000,103,40178,1
0.000156000,103,40178,1
0.000149000,103,40178,1
0.000144000,103,40178,1
0.000149000,103,40178,1
0.000145000,103,40178,1
0.000149000,103,40178,1
0.000144000,103,40178,1
0.000317000,103,40178,1
0.000145000,103,40178,1
0.000148000,103,40178,1
0.000149000,103,40178,1
0.000159000,103,40178,1
0.000145000,103,40178,1
0.000154000,103,40178,1
0.000153000,103,40178,1
0.000151000,103,40178,1
0.000155000,103,40178,1
0.000233000,109,3766,1
0.000147000,109,27715,1
0.000155000,109,1132,1
0.000147000,109,3766,1
0.000151000,109,27715,1
0.000153000,109,1132,1
0.000228000,109,407,1
0.000156000,109,3703,1
0.000291000,109,407,1
0.000155000,109,3703,1
0.000232000,109,1110,1
0.000151000,109,8300,1
0.000153000,109,1086,1
0.000156000,109,1110,1
0.000151000,109,8300,1
0.000157000,109,1086,1
0.000217000,109,9595,1
0.000144000,109,2068,1
0.000286000,109,2068,1
0.000218000,109,9943,1
0.000145000,109,7435,1
0.000145000,109,8600,1
0.000145000,109,30000,1
0.000143000,109,7435,1
0.000145000,109,8600,1
0.000217000,109,30000,1
0.000298000,109,1041,1
0.000287000,109,1041,1
0.000218000,103,40178,1
0.000216000,103,40178,1
0.000217000,103,40178,1
0.000217000,103,40178,1
0.000225000,103,40178,1
0.000220000,103,40178,1
0.000218000,103,40178,1
0.000219000,103,40178,1
0.000219000,103,40178,1
0.000225000,103,40178,1
0.000225000,103,40178,1
0.000227000,103,40178,1
0.000224000,103,40178,1
0.000224000,103,40178,1
0.000229000,103,40178,1
0.000150000,103,40178,1
0.000149000,103,40178,1
0.000151000,103,40178,1
0.000318000,103,40178,1
0.000152000,103,40178,1
0.000144000,103,40178,1
0.000144000,103,40178,1
0.000142000,103,40178,1
0.000148000,103,40178,1
